"FORNECIMENTO DE EQUIPAMENTOS COLETORES","E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E"
"FRENULECTOMIA","LABIAL Seg. Odontológica Seg. Ambulatorial HCO HSO REF LÁBIO CABEÇA E PESCOÇO PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"TRATAMENTO CIRÚRGICO DE HIPERPLASIAS DE TECIDOS MOLES NA REGIÃO BUCO-MAXILO-FACIAL","(COM"
"RADIAÇÃO PARA CROSS LINKING CORNEANO","(COM DIRETRIZ DE UTILIZAÇÃO) Seg. Ambulatorial HCO HSO REF 121 CÓRNEA OLHOS PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"GRAVIDEZ","ECTÓPICA - CIRURGIA POR VIDEOLAPAROSCOPIA HCO HSO REF"
"RAZÃO DO TESTE sFlt/PLGF","(COM DIRETRIZ DE UTILIZAÇÃO) Seg. Ambulatorial HCO HSO REF 139"
"ACETILCOLINA, ANTICORPOS","LIGADOR ANTI-RECEPTOR Seg. Ambulatorial HCO HSO REF IMUNOLOGIA PROCEDIMENTOS LABORATORIAIS"
"ENSAIO PARA DOSAGEM DA LIBERAÇÃO DE INTERFERON GAMA","(COM DIRETRIZ DE UTILIZAÇÃO) Seg. Ambulatorial HCO HSO REF 140 IMUNOLOGIA PROCEDIMENTOS LABORATORIAIS"
"CINTILOGRAFIA PARA DETECÇÃO DE ASPIRAÇÃO PULMONAR Seg. Ambulatorial HCO HSO REF PAC RESPIRATÓRIO -","IN VIVO MEDICINA NUCLEAR"
"CINTILOGRAFIA PULMONAR (INALAÇÃO) Seg. Ambulatorial HCO HSO REF PAC RESPIRATÓRIO -","IN VIVO MEDICINA NUCLEAR"
"CINTILOGRAFIA PULMONAR (PERFUSÃO) Seg. Ambulatorial HCO HSO REF PAC RESPIRATÓRIO -","IN VIVO MEDICINA NUCLEAR"
